	TCGA-H6-A45N-11A-12R-A26U-07	TCGA-H6-8124-11A-01R-2404-07	TCGA-YB-A89D-11A-11R-A36G-07	TCGA-HV-A5A3-11A-11R-A26U-07
GNB1	185.8241	240.5843	214.9084	238.9386
GSTO1	102.1204	202.7376	343.9986	214.5482
LAD1	2.538	123.7148	85.3029	134.7101
VSIG2	3.8559	6.508	98.4398	11.6189
ATP5F1C	116.28	255.6512	164.2941	252.4316
SEC61B	133.5266	226.6985	227.5054	239.0892
PLA2G2A	0.2849	8.7085	132.5622	0.459
TMEM123	176.4791	249.6158	152.6128	230.3168
EIF4A2	304.6883	214.6581	152.5386	169.149
PSMB5	75.5821	180.0347	198.4464	193.4877
TPM4	101.9039	275.5024	321.8774	265.725
TAPBP	324.4595	186.0506	199.6376	404.5626
MTCH1	230.9622	211.264	191.16	239.5734
COX4I1	190.6562	163.1004	213.2324	216.0774
SERPINH1	29.6845	204.6317	400.9448	223.838
COX5B	104.7877	126.0925	189.8709	169.276
ACADVL	251.8108	178.4153	284.721	267.4249
SH3BGRL	323.5852	331.9363	272.9912	261.2152
POMP	117.6072	183.3585	237.9865	208.1897
CHMP2A	96.2971	156.1807	209.947	192.8498
NDUFS6	109.9756	137.7581	184.36	189.0745
APH1A	150.0506	187.5109	147.8151	179.5695
CAMK2N1	17.2061	75.0726	129.6089	85.7224
GHITM	184.3438	222.4846	177.9184	193.4354
NFKBIA	353.5333	288.9904	321.3442	305.3299
CNN3	96.3332	439.4581	305.6121	365.8784
NDUFB10	125.0918	153.4337	194.7872	208.2359
SET	217.0661	207.715	158.8316	206.0423
CYBA	367.6504	116.1513	329.1707	186.2896
S100A2	6.8571	6.6892	12.1035	8.6137
C19orf53	131.9908	167.9154	215.4564	177.2382
AHNAK	132.1595	184.902	148.5023	107.0715
FBL	235.437	127.3292	158.5216	151.2783
ANXA4	9.7364	404.2907	125.744	291.9081
EFNA1	4.6818	124.9674	78.7264	217.7444
PGRMC1	74.1899	175.6995	162.0213	168.369
ANXA10	0.1519	4.6886	81.1279	7.2985
CXCR4	1162.1019	347.2703	202.6246	176.4875
C7	110.3181	214.745	228.4535	69.1552
APEX1	234.7474	242.0921	173.4118	261.6062
CMPK1	126.3759	235.5587	134.078	199.6965
ERRFI1	13.24	152.3075	236.9583	120.673
RPL14	278.2529	147.9238	162.7342	181.9083
COMP	0.7218	144.2101	614.7812	56.6085
AUP1	218.6348	163.5785	193.6161	206.2281
CLSTN1	116.4127	162.0883	144.0291	150.8818
PLAAT4	165.7399	103.5483	127.9285	107.4952
NCL	200.9451	185.7452	156.0655	160.4696
SLC40A1	318.791	147.749	106.4377	89.5052
PLAU	33.5199	147.324	248.0387	163.0456
FSTL1	44.6562	295.5624	286.8358	168.1514
TESC	15.3538	113.8976	85.8204	160.3675
TSC22D3	355.7139	298.5178	188.1428	131.4292
QSOX1	22.9572	104.3739	137.6486	99.5516
PLEC	84.8101	83.6957	178.451	84.2345
CD164	128.3804	168.2604	197.6016	146.4325
DNAJA1	109.931	165.4173	181.6401	189.14
EIF3K	212.9039	164.7728	182.8204	181.0661
CRISP3	0.4536	20.2913	72.9085	7.8986
HIGD2A	206.3165	181.9784	208.5755	204.7669
CUTA	145.6838	160.048	167.1444	178.395
TMEM109	198.8639	213.0355	205.962	215.3784
YWHAG	102.7552	174.6466	241.8199	160.4177
PSMB7	133.5586	176.3585	168.6593	196.6712
HNRNPAB	135.1849	144.898	184.2822	172.1587
PLD3	132.7813	228.9559	358.6883	167.9853
DYNLL1	77.0648	151.757	220.0698	177.6205
GPX3	121.0187	102.922	591.4155	40.6412
TALDO1	134.9932	155.2159	206.3075	193.975
CD99	85.5264	172.9644	288.9275	243.2491
CDC37	226.2126	133.4189	242.9518	172.8356
CA9	0.4626	2.1198	39.2533	5.3313
ERP29	256.1924	205.4577	167.4589	186.8246
PRKCSH	160.4242	158.6039	178.5812	208.929
TOMM20	138.7573	155.29	113.2323	151.6448
HDLBP	64.6966	163.3485	164.7767	170.4784
PRR15L	0.4881	127.6026	48.6682	104.4748
FBLN1	10.2119	224.695	234.606	93.7298
RHBDD2	66.456	142.0412	161.5791	184.2559
MRPL41	151.7906	112.4701	202.6933	153.0179
ATP5MC2	182.5058	175.1118	155.5138	183.0257
ARHGDIA	169.3582	149.8901	241.9247	177.8089
HLA-DPA1	560.0374	543.4529	250.9966	390.1892
CTNNA1	49.6869	187.0874	151.1352	208.8016
TSPAN13	90.1147	105.8032	126.4943	164.5917
MXRA8	40.4368	226.2618	362.2725	192.7717
TUBA1A	71.0459	407.0157	371.9684	455.1478
TRIM28	193.4556	150.5525	159.9049	216.6385
NPC2	125.6324	290.2995	260.3011	251.4625
ERH	146.4641	198.6523	145.0365	178.1263
SULF1	4.6337	260.3763	346.6551	218.0222
CXCL17	0.2543	60.1437	71.4438	106.1433
COL10A1	3.8119	329.3102	318.0105	77.9279
ARPC3	239.8677	180.9365	191.9919	204.0476
COL4A1	54.9185	290.9018	294.3328	283.6995
SEPTIN2	129.5431	243.0521	192.5858	210.3884
RPL39	313.0605	120.2714	161.7835	104.2335
PSMB1	163.0603	193.3168	172.3808	203.031
CEBPB	71.8044	103.7037	293.3095	151.2538
ITGB5	28.8753	168.0271	224.4443	123.5871
UBA1	188.1793	183.553	167.5397	190.8207
OSTC	90.2296	199.8484	173.5211	183.8175
SOCS3	18.0609	146.5897	649.1837	126.0023
SCG2	0.3969	71.4941	37.0426	17.5698
STOM	173.8617	199.9957	309.5919	197.4476
XRCC5	151.3605	203.7256	140.6954	191.7817
KLF5	1.7441	39.7459	130.5639	37.034
COX5A	98.3216	139.2495	148.2749	165.017
FURIN	55.2409	301.6272	181.0557	313.855
TSPAN3	73.4745	128.237	140.5908	134.7241
CIAO2B	129.1357	124.377	217.5273	150.8353
CLTA	91.6976	167.3256	169.7226	184.4635
EIF3D	253.1239	166.5332	160.292	194.9026
PBXIP1	238.1178	197.3998	144.6262	174.0251
FIS1	128.0389	141.515	171.5187	147.7327
GNAI2	255.5546	229.1678	265.0187	253.1191
MT1E	21.1265	257.0162	147.904	281.5748
CCT7	144.7056	152.6636	169.0121	180.1585
ELF3	0.2329	155.7302	72.3826	167.144
CTSS	366.8502	277.487	284.7957	187.3756
EMILIN1	105.6367	255.0921	486.9781	240.9097
COPG1	77.5457	161.6097	136.7439	167.0061
CAPN2	55.1885	131.362	107.2044	113.2262
ARPC2	219.0694	188.7245	210.1043	184.3076
UBALD2	110.2375	100.8064	130.2121	143.7615
CNN2	189.2791	169.7024	227.6801	204.3259
TMEM219	121.3157	145.7103	163.0047	175.2844
HSD17B10	123.5987	163.5017	171.8713	201.115
PMVK	129.4645	117.5078	119.5589	105.0762
ITGA3	11.1757	53.7009	79.9016	102.8534
PIM3	113.257	111.079	193.676	114.205
SSR4	80.4	99.2305	108.054	128.8392
DAZAP2	253.2309	258.0901	139.7146	220.1308
MRPL51	101.8353	149.6789	149.125	142.415
ARF5	92.5841	158.6324	175.8275	194.4169
TGOLN2	182.9471	230.0644	122.1465	147.8679
ATP5MD	96.1116	131.2414	149.0956	132.8623
SRP9	139.3201	179.3588	110.9495	179.2451
VEGFB	97.7593	179.1572	262.5515	156.3209
CD55	31.9457	47.0667	166.1696	32.9333
SYPL1	177.8304	165.8062	129.2365	140.6512
APRT	144.3547	111.1083	155.2998	163.6338
MDH2	113.5516	130.209	133.8817	150.5049
RAB1A	77.6943	177.611	176.5434	162.4662
FDCSP	555.2314	32.0965	12.2908	27.5812
GUK1	121.1943	93.624	184.825	130.2621
CTTN	44.7361	125.7154	130.9995	145.668
MARCKS	232.3278	300.2727	185.6222	323.7187
MISP	0.1248	7.0181	115.0508	14.3
MLF2	104.5915	164.7589	161.711	192.1936
UBL5	116.1072	149.0269	205.253	153.6593
CCL19	178.164	26.2336	140.7695	47.0526
HSPA1A	35.8196	25.6185	163.1199	89.2891
MAPRE1	144.061	176.0272	171.9281	151.1595
CD14	80.6342	342.3654	299.4934	374.3849
CALD1	72.5683	261.6779	242.3943	170.3922
ATP5F1E	139.4785	124.5302	179.0407	103.3131
LRP10	71.0568	151.9259	140.662	166.5308
APMAP	122.5686	204.4141	205.3719	165.8998
PSMB6	118.8263	179.1105	198.988	217.1926
HNRNPA2B1	258.5824	174.9976	151.2259	158.0538
ST13	134.7194	185.0171	149.5181	171.2148
NECTIN2	36.9283	117.045	192.1591	176.1805
DDX17	582.2658	192.3518	125.9986	175.269
SLC2A1	30.4958	15.033	151.268	18.3978
EIF2S3	261.9993	186.0906	125.0456	183.9796
TCIM	70.7225	282.1404	415.1247	263.4792
AP2S1	100.3332	134.1255	256.4813	157.5927
OCIAD2	26.0662	80.0875	102.4743	109.7447
CEBPD	105.9898	122.1001	232.6339	211.865
LGMN	142.5825	246.4774	256.7241	233.3283
CYB5R3	86.6073	192.0176	221.5549	179.167
SF3B4	130.3194	140.4674	118.3272	168.9517
PSMC3	95.8518	149.8411	163.2082	210.2699
DPP7	182.6235	132.6974	223.7098	161.3601
EIF4B	266.2945	173.6374	113.1906	175.1178
TM9SF3	60.3938	128.2216	98.9097	112.0511
CNPY3	328.3111	189.9912	228.5944	187.3772
HLA-DPB1	451.8522	405.0356	253.3899	318.9274
NENF	65.9182	145.4856	160.8043	151.3817
PRPF6	159.8591	124.0988	139.8447	140.4836
RHOC	56.8347	120.8389	194.8985	178.7364
SDCBP	134.1051	234.6627	211.8367	177.4198
ZFP36L2	237.7547	166.516	162.9488	83.7938
GFUS	41.2122	48.038	81.9657	80.1622
ZMAT2	163.6742	178.8653	131.3104	129.3016
LITAF	126.8203	221.7286	205.0141	240.9039
CLDN2	0	181.8263	60.5007	30.8269
SBDS	76.0201	112.4819	130.93	108.4663
HADHA	153.4331	165.8643	177.3596	164.8272
OS9	106.2146	173.5223	149.5635	151.1961
TLN1	276.2069	184.0206	187.3765	150.0775
ATP1A1	35.2952	285.7405	90.8282	151.306
CALM1	128.8089	163.1132	133.3358	166.6625
TGFBI	39.4405	176.3832	139.3989	268.6408
SF3B6	95.3889	144.46	144.6947	159.7282
NFE2L1	126.9133	174.804	132.4602	136.8639
LAPTM5	828.3697	293.522	517.9948	178.5017
BTG2	265.8545	91.3022	228.5734	105.4492
ARCN1	97.4888	160.0569	120.4836	132.2081
CELA2B	0.8343	22.2084	1.9651	181.7971
DUSP23	42.2792	128.4016	140.0217	237.614
NPM1	190.4703	147.7328	119.0676	132.6317
MUCL3	0.1146	0.5695	14.0703	0.1172
TSPAN15	29.9566	143.6606	145.2619	222.1882
TNFRSF1A	63.6198	129.064	194.9112	151.1654
DHRS3	36.5882	128.0062	155.6929	170.2019
EPHA2	14.6415	17.8023	100.198	35.1734
PRDX4	34.0886	128.2234	125.5805	144.4304
TAF7	228.7375	132.5308	112.0021	123.8842
WDR1	136.4164	192.9112	199.6069	194.4593
CD59	26.637	211.7768	143.0058	235.4842
CXCL5	6.6041	38.2075	34.4832	41.6152
SAA1	2.7505	49.2297	1065.3741	53.2205
UQCRC1	95.0234	137.1495	156.0568	191.0089
EIF4EBP1	40.3669	138.3943	157.783	263.0267
GLUL	119.7385	215.5383	238.5409	139.6041
EIF6	69.8148	95.9601	130.9563	106.8216
SLC44A2	301.4532	137.5393	118.5496	151.4348
SUMO1	104.2648	138.8662	127.0926	144.1551
B4GALT1	109.2501	219.6605	138.6413	216.9326
RAB11B	149.3748	149.8013	192.7044	201.9299
FLNB	53.8208	97.605	102.9984	92.7154
CXCL16	47.3116	234.3425	298.5465	208.0609
RTN4	71.2694	161.9734	215.27	161.6878
PLS3	88.0234	184.7801	173.8683	162.9682
TM9SF2	87.7791	165.3495	101.4647	135.6418
C4orf3	154.5674	187.8036	181.839	126.8419
ANXA11	77.5896	135.1266	146.84	176.7752
SRPRA	123.9068	155.0196	119.3646	144.2485
PHLDA2	2.2237	14.9458	113.0448	34.1968
LAPTM4B	48.1393	186.4228	78.3371	152.142
VMP1	68.4617	115.9183	212.7794	124.4812
TOB1	20.8411	74.6635	65.8073	58.3372
RRAGA	138.0046	201.648	174.2635	176.0902
SRRM2	420.8183	128.4217	120.0791	126.9665
PDGFRB	44.9123	246.4553	199.981	163.1128
CIRBP	360.416	187.1477	120.0295	179.6222
PPP1R14B	51.8802	121.1576	149.8249	213.4973
GOLPH3	83.428	171.7831	113.4902	172.5011
SLC9A3R1	93.5881	144.4961	83.0438	220.7614
PSMD8	70.8295	116.422	147.8442	122.2052
PLTP	31.3998	148.47	219.0809	116.2473
COL4A2	54.6437	266.7287	285.5259	297.7651
SERINC3	97.3323	128.6953	123.6074	109.4043
PSMD4	121.2186	121.2655	121.0972	145.8528
AAMP	96.3401	106.7537	126.0299	106.9326
CLIC4	84.7688	224.9774	201.237	179.9131
PCBD1	42.1296	124.8244	116.3977	113.5989
IRAK1	118.133	124.9281	137.3603	124.0699
RCN3	39.643	142.6193	299.3755	194.2204
CYC1	104.4558	112.7809	113.4562	123.2555
C6orf62	346.1618	226.1894	120.3921	221.8083
SELENOW	73.3586	107.1588	151.6528	111.9518
PPIA	137.5126	118.2998	128.3251	142.5227
ELOVL1	81.6739	134.7977	144.4956	160.582
FTH1	96.3328	91.3597	345.1781	57.3974
CTDSP2	135.9953	222.3097	146.1413	188.923
CLDN1	3.0502	379.3988	81.7942	383.0017
SHISA5	156.2756	120.9359	158.7512	158.7336
SCD	20.0522	86.1374	352.456	84.1824
SEPHS2	110.3552	149.4033	95.714	125.8098
BLVRB	124.3541	119.2008	134.2498	118.6277
ASPN	3.0495	242.5561	161.5609	103.6841
EIF4G1	114.8159	117.4288	120.8455	134.9259
GPNMB	42.6068	611.3684	356.3554	199.9867
NUCKS1	138.3557	173.8318	98.4844	115.0821
CD9	22.1591	144.2608	129.5816	153.6812
YWHAB	154.8529	174.9067	126.9862	153.9135
MAF1	158.0282	120.7865	150.0246	151.8135
BCL2L1	43.0727	76.3571	105.888	99.7495
CREB3	60.1176	111.6605	119.0912	134.2375
BTG1	486.6025	215.2086	180.2252	196.9413
IL32	154.8317	194.4394	230.2027	537.768
HNRNPC	176.9248	163.3694	139.6391	128.7457
CLDN7	1.5673	101.3822	106.6476	163.5549
PPP1CB	95.7201	327.7154	147.6359	330.4648
KLF6	86.4328	133.0988	228.4173	116.4465
TNFAIP2	200.7651	195.7887	164.8959	436.4244
STRAP	91.2285	151.4637	117.1992	140.8715
HNRNPDL	278.9922	174.5133	122.1864	156.3076
REEP5	89.2945	155.4977	125.9046	150.5434
FMOD	32.4582	112.2532	136.7791	73.9307
MRPS21	138.6817	104.1468	126.4648	115.8566
MRPS34	123.2226	99.0407	115.7895	121.7205
STOML2	94.0215	118.6185	106.6139	141.3441
FLOT2	250.7211	139.6113	107.7559	179.0066
UFC1	82.4084	156.5668	110.8003	145.7323
KLK1	48.176	69.5469	13.6734	350.6864
PCNA	145.2872	119.2123	95.4866	122.6802
RAN	140.9123	126.1193	118.1189	133.9496
SNRPC	119.2932	136.7296	110.082	145.7369
ACTG2	14.3233	9.4748	36.4338	6.4645
TPRG1L	91.6749	101.8319	107.4424	112.3835
CAPZA1	227.3043	133.9623	143.5094	135.0498
ITGA6	45.9831	48.957	93.6837	39.6801
PRSS8	0.2188	105.9541	75.8875	133.5602
NDUFA8	75.5269	110.23	139.9797	122.0504
MTPN	223.6523	149.7503	134.1786	110.2329
ARF6	164.1934	124.9254	129.7686	116.3291
SSNA1	104.9138	113.5229	142.8961	157.8531
KHDRBS1	160.0067	169.1968	121.1324	175.7606
UBXN1	206.5136	124.5147	144.3774	161.2341
H1-10	112.3139	132.7347	144.4496	150.155
ID3	83.792	84.4979	225.3267	151.606
RNF181	90.446	123.1481	173.6438	149.6247
PPP1R15A	49.2113	74.022	208.7673	75.3282
TMEM50A	85.4535	152.3422	143.9512	154.8195
CCT6A	109.8444	126.4683	99.0695	147.8496
SNRNP70	395.6715	105.4703	146.5229	146.8614
UBE2L6	233.3813	171.3319	133.7864	157.0962
HDAC1	161.9501	88.0008	87.8665	90.7433
COL17A1	1.131	0.3885	80.9902	0.4764
AP1M2	1.5121	93.2886	76.5553	142.9276
DRAP1	133.3854	113.8364	184.9664	139.7322
FCER1G	272.4156	323.9883	491.2498	231.9916
MYADM	36.7813	157.9301	255.5732	123.5093
EPHX1	63.9596	163.577	136.9464	162.9097
ATRAID	95.7552	142.7889	123.9427	120.1254
AURKAIP1	85.2471	90.3472	148.5125	148.6576
TLE5	142.791	101.3468	126.1814	133.8743
NCOA4	194.373	210.8408	109.4997	147.77
PRNP	114.4644	189.8702	147.6086	124.5566
ADIPOR1	81.9988	105.9525	99.7251	99.2187
MUC6	0.9588	12.4887	12.6548	19.0469
FAM32A	115.0174	156.2086	138.2771	157.5787
SCNN1A	0.5064	91.439	52.1518	75.0433
COX7A2	73.4935	112.5115	115.2062	111.3779
ABHD2	40.2244	128.9408	68.8479	70.8218
ACTN1	44.2106	166.1381	197.5752	209.9491
VAMP3	77.7823	140.365	151.5705	127.9061
MAPKAPK2	113.0096	145.7312	157.6546	200.209
MRPL14	56.7473	100.0324	106.9031	123.3235
EHD2	51.6486	101.9006	205.8967	133.6795
HSPA1B	13.3373	18.5923	95.8645	70.8962
NUDC	97.2364	110.4557	127.5962	173.8543
HMGN2	217.7389	142.1607	130.0247	142.9453
LYPLA2	107.9919	107.9434	134.622	194.5473
MT1G	0.8668	295.8691	37.7354	276.2892
CHP1	36.0234	96.3871	97.5994	123.5697
B3GNT3	0.0672	9.9732	56.5101	19.4174
ANPEP	16.8624	67.0592	138.7925	335.6593
ENG	177.2807	169.4204	252.7026	196.4895
THBS2	3.2948	212.6156	223.1182	66.6583
EFNB1	36.3746	57.3539	133.0291	81.4916
CALU	31.4225	149.2716	151.9936	102.5221
COPZ1	82.7574	118.0819	93.591	112.3972
TST	12.2866	91.1083	75.1298	93.7394
PPT1	171.1743	252.8714	210.9923	185.417
CTNNB1	76.3451	188.0164	146.411	116.8933
DBI	80.6867	167.9329	176.2084	142.908
STAU1	66.0073	128.1069	115.557	146.7407
GET3	91.5177	154.1694	134.5669	157.7418
GAST	0.4	0.3727	0.1458	0.179
JPT1	46.8508	79.9605	143.8356	89.2661
YIPF3	65.3968	138.1975	111.0202	154.344
FSTL3	23.2403	390.7012	146.9503	771.3554
SMS	74.3567	143.2366	130.5753	118.4368
KRT16	2.0273	2.1925	73.5179	2.3521
RAMP1	23.1871	165.4132	152.7363	132.5009
EMC7	63.1473	129.9113	150.8632	122.7246
CRIP2	49.5658	84.7117	124.3468	134.2876
CREB3L1	3.0281	58.3194	92.6716	68.169
TMEM54	8.2032	60.8724	103.3946	100.9102
CKAP4	21.7894	145.6635	151.8322	170.2748
H2BC12	89.7981	32.2132	49.992	24.0443
CAPN1	75.4861	107.6426	99.6367	154.1524
HIF1A	91.5475	262.3876	179.3716	185.9311
PDAP1	93.7582	106.2624	122.9526	121.3299
CD248	9.6236	194.0663	305.6597	185.8408
GIPC1	30.1595	56.4595	122.7988	82.8742
CENPB	90.3854	119.1658	138.6914	137.3732
DDR1	15.3219	133.8068	58.076	165.8128
ATP1B3	48.3259	92.9413	247.4333	87.6828
SLC25A39	103.4619	93.87	122.6737	132.8475
ANXA6	278.3301	169.0076	207.167	122.6728
GABRP	0.483	13.2651	150.7799	6.376
ITGB1	38.5161	257.8848	138.8494	149.7414
RAB10	93.857	142.6793	120.6215	129.2416
ANTXR1	26.5772	184.9338	186.5506	104.2921
FUCA1	160.1297	147.4177	123.9468	133.0137
NDUFB3	83.593	109.9143	113.8287	93.6217
PHC2	83.1598	136.1718	154.8234	163.4493
AIP	196.5469	117.1183	157.8799	130.654
ATP6V0B	86.733	126.4279	158.2009	144.7987
TMEM176A	41.1068	98.8152	163.0686	118.6577
NDUFB4	75.4041	123.0577	110.5997	135.6871
TCEAL8	79.0161	169.0752	117.3438	147.0104
FCGRT	165.5583	132.3862	284.6253	131.0076
TNIP1	153.397	152.0986	138.8717	249.7915
H2AZ1	135.6778	91.3945	97.9628	105.1195
TMC4	1.3363	97.5285	68.7938	135.9356
KLHDC3	116.8039	143.676	134.8561	169.5936
ANXA7	106.1509	155.2744	102.9279	146.0747
GADD45B	54.1509	157.9725	289.5184	135.512
LAMB2	66.6317	138.4465	171.1971	132.5017
PRPF19	137.4328	115.1912	95.8779	118.0165
R3HDM4	138.9687	99.0769	144.8347	153.9353
CALM3	118.9797	139.0101	140.3089	127.3336
HMGN3	219.732	189.5593	93.539	201.3451
HCFC1R1	37.7046	139.5794	159.096	113.5966
NET1	20.5824	71.9927	115.3495	77.113
LASP1	106.122	119.6139	119.6272	126.2423
ECH1	130.3823	89.0061	178.7814	85.218
PSMC4	82.2703	96.4708	116.7445	115.9349
CD44	99.1155	181.1731	152.0081	221.5283
IGFBP6	36.4091	41.7207	147.7339	51.8798
GTF3C6	86.3278	152.4323	133.5336	175.7687
ITGB6	0.225	127.4817	72.0047	146.2034
RBM3	155.4703	114.6848	110.1024	156.1193
PPP4C	93.8764	81.3652	133.3374	129.3983
CTDSP1	129.7531	123.6613	120.5189	145.3193
GJB2	1.3156	65.9237	203.7485	61.2621
TMEM59	52.2843	130.6523	94.3561	98.5864
SLC25A1	95.0386	89.1316	130.0666	151.2219
TNKS1BP1	32.4151	134.7973	126.8416	132.5468
AP2B1	80.1902	114.8701	128.1015	100.0935
PTPRF	9.1672	192.8613	64.5696	187.8354
TRAPPC1	152.948	140.7094	172.7647	163.4044
TXN2	124.3271	123.0755	124.7061	126.0561
COL12A1	11.0401	102.8708	177.7625	46.4991
CCND1	41.5445	57.9193	59.4669	54.3855
LRRC8A	28.9919	56.6868	122.267	65.6863
NAXE	70.5256	94.5361	92.84	114.361
ERGIC3	66.3429	103.3181	108.1592	114.912
PSMD2	88.6796	117.7955	104.6212	124.04
RBM42	81.02	78.8038	131.1692	128.807
IER3	13.0877	86.9174	145.8397	137.7308
PDLIM7	47.1605	136.9553	187.7005	201.8718
MAT2A	133.0912	119.7855	124.7412	100.8228
ECE1	81.2596	94.0365	137.5059	135.6194
LAMTOR4	196.4547	107.3111	138.7816	107.6921
GLUD1	93.1147	116.5562	117.4976	107.1425
PLEK2	0.7112	40.2464	143.2431	56.813
C5orf15	87.0509	182.9627	114.7046	148.5558
AQP5	0.0987	1.4413	25.7659	2.5623
DPYSL3	46.1008	196.7155	257.9304	155.8293
RHOG	230.3106	143.3827	186.5007	189.375
PRDX2	66.8407	118.9843	97.9962	117.1526
PLBD1	14.2131	84.678	116.0692	43.9807
VCP	114.85	129.1535	116.4912	127.9796
ATN1	94.3732	107.8684	125.351	135.6967
SNU13	118.6622	102.8163	106.1318	100.32
EMP1	10.4709	90.2267	239.7274	44.4044
FKBP10	16.8935	120.8707	181.2707	147.6246
PKN1	167.9403	100.751	144.4233	147.827
SUMO3	108.4109	110.4933	104.2273	94.5024
KRT6A	6.9919	0.3357	7.461	0.3698
NDUFA4	84.367	139.0509	120.668	108.7453
RPS4Y1	0.1723	0.5619	319.8631	313.4148
DSG2	3.5471	174.2656	69.1072	128.7624
RAB7A	87.4851	151.7183	136.066	123.3877
SMIM24	1.0674	44.0422	42.5279	71.0914
SND1	102.2823	119.8408	84.3548	133.5843
TRNP1	8.787	32.609	65.3651	70.5292
CDV3	239.9318	145.0695	116.8279	144.5917
AGRN	14.3277	160.5219	95.6636	190.739
TINAGL1	66.6491	64.458	116.3892	83.6716
IFNGR2	87.3201	137.1387	133.6522	142.6124
CKB	18.731	47.276	58.4088	58.3276
CYBRD1	40.4726	167.3896	127.8083	72.6737
PPP2R1A	81.4007	124.549	126.6777	145.0496
SCCPDH	24.2795	79.6581	92.4021	71.0237
MAGED1	40.1165	123.6759	111.1165	122.8177
FBXW5	130.115	94.0445	139.8553	148.0408
PGD	72.5129	139.9882	188.2583	167.1598
GSTK1	180.8859	93.9543	100.0712	108.8472
HMGN4	184.723	137.1546	109.456	132.5334
CCT8	111.1392	113.3513	93.8124	120.4485
PLOD1	25.8349	119.2506	173.6225	133.8882
QARS1	144.6582	124.945	103.9378	152.8868
UBE2M	79.6005	73.4518	117.391	103.0471
TGFBR2	165.7425	109.9388	107.397	65.9524
PDIA6	67.0875	140.09	94.3801	103.5705
AQP3	112.6698	72.1626	50.1668	92.6084
HLA-DMA	374.5132	241.6409	172.426	235.8192
RASSF7	30.8493	49.018	65.5321	112.4967
ADAR	195.7085	126.8454	75.7748	98.7371
C9orf16	70.1517	84.6859	149.95	109.715
SARS1	91.1314	122.6622	113.6298	130.9758
ATP5IF1	101.1416	107.6019	102.7778	100.9238
RNF5	84.1629	134.7199	106.2981	154.1275
NPDC1	91.5216	45.1145	119.0443	61.5966
MORF4L1	83.7238	157.4493	109.2705	130.1172
SRSF5	392.329	134.755	99.7028	105.9916
HNRNPH2	115.3081	146.5228	104.0879	120.1692
MFSD10	78.8382	79.5633	120.0408	123.7301
SCGN	0	70.2485	22.3247	24.7108
U2AF2	174.5064	93.9174	109.6849	100.9441
PSME2	191.4353	98.7573	105.5005	130.5615
RNF187	99.226	101.1808	104.6795	119.1182
MXRA5	6.668	163.9338	150.4419	99.3348
AGR3	0	16.7859	35.8097	9.6729
RAB1B	95.6623	105.2371	98.4627	101.1142
ATP6AP1	80.3594	126.6691	132.326	113.5904
FAM50A	81.9872	101.5341	153.288	134.2382
ATP6V1E1	84.5003	133.249	126.5782	124.5145
SDF4	88.3265	103.0891	133.9942	115.1084
FSCN1	82.609	54.5875	126.3389	119.9741
COTL1	290.79	115.1458	175.5252	122.8204
PKP3	0.245	33.7204	57.1856	58.2064
NDUFA6	76.4553	123.285	115.6188	111.9027
TIMM23	64.8598	110.644	101.5252	122.3276
HNRNPA3	177.536	114.2484	106.7725	110.1919
LAMTOR2	60.5374	92.9153	126.0819	109.4917
VCAN	8.4008	195.1664	192.4406	68.5439
GNS	78.9569	163.597	147.8606	114.05
TSC22D1	31.6038	96.3299	142.1882	76.7355
ECM1	10.7383	44.5339	134.4648	65.42
IDH2	104.3029	220.2325	135.7164	269.2517
DDAH2	76.7388	140.8525	164.8025	168.1161
EIF4H	109.8382	122.6311	103.3948	113.2144
ETS2	148.0357	110.0104	147.0646	109.2346
MANF	42.518	95.3712	112.8055	97.0048
SAP18	79.3825	99.3858	107.8649	90.5338
POLDIP2	83.5533	114.7901	90.4219	133.6361
CREG1	132.8656	190.0766	139.6387	125.3774
TMEM248	84.4897	114.5365	97.897	107.6136
TRPC4AP	137.5172	110.3767	101.5889	133.9529
ITLN1	1.0596	1.0455	3.3626	1.1157
HSPD1	67.6503	65.589	83.4471	61.2472
G0S2	61.0391	24.3362	427.2939	32.019
DPM3	81.7789	94.4628	121.3159	84.3008
PHPT1	70.3784	83.22	113.1359	113.28
NELFB	116.9719	97.1918	115.656	125.8613
KIAA1522	2.6569	128.9928	57.1773	169.3917
LBH	226.652	206.2364	169.1195	171.9701
RGS2	112.2314	96.4002	137.6079	41.0571
KARS1	104.125	103.7816	101.6208	124.0339
AKR1A1	93.0513	156.6795	137.4195	174.1143
DDRGK1	57.3077	95.9637	121.236	111.8521
GLO1	127.8834	122.1929	88.6316	138.5877
ARF3	87.587	135.6828	89.408	122.2835
VAMP5	156.0849	92.1454	122.8077	86.8124
EIF3A	116.7471	120.8521	86.3293	99.6631
CD82	82.4009	53.5111	82.9717	44.6959
